feature,importance,std
shannon_diversity_class,0.0008043362975699717,0.011066390093343927
genus_Unknown_ratio,0.0008032082479714784,0.01086010953050357
genus_Fusobacteriaceae_mean,0.0008019224560122349,0.011048605437260009
abundance_127,0.0008015431965091041,0.0105232290048939
order_Fusobacteriia_ratio,0.0007987138942724425,0.010540594322942782
genus_Peptococcaceae_mean,0.0007986824155755893,0.009979349524513941
species_Casaltella_sum,0.0007972113587259621,0.011562588974641895
abundance_zscore_2,0.0007952997593179845,0.010297991101945314
abundance_26,0.0007946758719487051,0.011563482308954673
family_Coriobacteriales_std,0.0007940225450574165,0.010760939387141275
order_Negativicutes_mean,0.0007937914729605868,0.009559729800296292
phylum_Unknown_median,0.0007915146956008563,0.011978424266920001
abundance_zscore_68,0.0007914555246686225,0.012591322370439173
genus_Coriobacteriaceae_ratio,0.0007911438356036602,0.009278270680878623
family_Verrucomicrobiales_median,0.000788248193613864,0.010187015293274641
genus_Propionibacteriaceae_median,0.0007879502122792243,0.01149368833453223
species_Parabacteroides_ratio,0.0007874989665689905,0.010763021591074118
abundance_rel_median_107,0.0007856820133321491,0.009964325476566135
family_Eggerthellales_ratio,0.000784202814119405,0.010044359474822788
abundance_zscore_25,0.0007834388922989653,0.0100896758595191
family_Clostridiales_ratio,0.0007787217501579888,0.009255755790645172
family_Bifidobacteriales_mean,0.0007786162865145107,0.009945373619973314
abundance_rel_median_141,0.0007785560148281951,0.010157907277696427
pielou_class,0.0007781298185736768,0.010788357569578981
family_Unknown_mean,0.0007769168977738434,0.009847492701771229
abundance_0,0.0007747120907141613,0.011881028077335473
species_Streptococcus_std,0.0007742247966344433,0.009552296926783676
abundance_3,0.000774215405449315,0.010970360866499213
abundance_rel_median_87,0.000773030975704277,0.009433127086240535
family_Aeromonadales_median,0.0007726438515131007,0.010518518852707466
family_Enterobacterales_ratio,0.0007717604515002874,0.009285700130393846
order_Bacilli_ratio,0.0007715822717530667,0.0098599657771545
genus_Phyllobacteriaceae_median,0.0007697553338801814,0.010691548729374856
order_Clostridia_ratio,0.0007670716982088559,0.009219994870731133
abundance_28,0.0007670025468251567,0.010309484598974327
species_Propionimicrobium_ratio,0.0007661795244412552,0.010099846742497316
species_Anaerostipes_mean,0.0007646455814843223,0.012325080507162993
abundance_rel_median_80,0.0007645001811528525,0.010971179893180331
genus_Erysipelotrichaceae_std,0.0007644088407323074,0.009981517617826282
genus_Clostridiaceae_median,0.0007635137537722433,0.01121871051491498
kingdom_Bacteria_mean,0.000763376499135343,0.009666590252055426
family_Corynebacteriales_mean,0.0007616788559205316,0.010665066969466678
genus_Fusobacteriaceae_ratio,0.0007614397826826882,0.011017328704102299
species_Anaerostipes_ratio,0.0007608341651743295,0.010952016239061451
abundance_rel_median_66,0.0007607972468482577,0.011234178488221775
abundance_42,0.0007598220682410314,0.01106774215086424
genus_Eggerthellaceae_std,0.0007594523259930216,0.009390198926061865
order_Clostridia_std,0.0007592816492770452,0.009421115499108934
abundance_zscore_110,0.0007592739351428394,0.00993626410661138
abundance_93,0.0007586395154784559,0.011156702784189213
species_Faecalitalea_ratio,0.0007575788559046516,0.009900912249012775
genus_Clostridiaceae_ratio,0.000755711785507565,0.009027441251180665
genus_Defluviitaleaceae_mean,0.0007528615431042242,0.010655589227837704
abundance_zscore_50,0.0007527221822883426,0.009470082693791222
family_Fusobacteriales_ratio,0.0007498939243461128,0.010106429905229149
abundance_55,0.000749383631289259,0.01008991497929887
abundance_zscore_144,0.0007491427924005313,0.010060848738243805
family_Unknown_sum,0.0007482862224092502,0.00903399366951821
genus_Coriobacteriaceae_std,0.0007473939604091612,0.010107447248601558
shannon_diversity_family,0.0007462042756306746,0.009203354411057768
abundance_zscore_129,0.0007461864297578788,0.009375449877836655
